사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-08,7호선,508,남성,206359,190751,52347,52131
2021-08,7호선,509,숭실대입구(살피재),219617,225676,44560,47023
2021-08,7호선,510,상도,198957,193819,44724,43123
2021-08,7호선,511,장승배기,172591,167708,52765,53165
2021-08,7호선,512,신대방삼거리,312986,299003,70340,72130
2021-08,7호선,513,보라매,189773,189579,33199,32180
2021-08,7호선,514,신풍,219979,207054,54256,54771
2021-08,7호선,515,대림(구로구청),176217,176018,29437,28361
2021-08,7호선,516,남구로,320980,336118,48283,48576
2021-08,7호선,517,가산디지털단지,912060,897696,70353,66298
2021-08,7호선,518,철산,414041,429662,76949,76507
2021-08,7호선,519,광명사거리,413864,405357,120755,124584
2021-08,7호선,520,천왕,214050,203703,42526,41991
2021-08,7호선,521,온수(성공회대입구),200930,184726,31433,29989
2021-08,7호선,522,까치울,158751,155005,24292,24614
2021-08,7호선,523,부천종합운동장,95041,82877,16572,16009
2021-08,7호선,524,춘의,195979,192800,26568,26157
2021-08,7호선,525,신중동,286674,286493,41746,40711
2021-08,7호선,526,부천시청,261428,261514,43372,42122
2021-08,7호선,527,상동,268307,279860,38342,38074
2021-08,7호선,528,삼산체육관,100932,93123,21381,20255
2021-08,7호선,529,굴포천,185898,196898,28894,29377
2021-08,7호선,530,부평구청,155690,137576,21268,19832
2021-08,8호선,531,암사,353148,312550,85893,85519
2021-08,8호선,532,천호(풍납토성),290481,342249,61898,59312
2021-08,8호선,533,강동구청,186315,196915,49482,49623
2021-08,8호선,534,몽촌토성(평화의문),116086,117901,23116,21838
2021-08,8호선,535,잠실(송파구청),275026,322421,51543,49722
2021-08,8호선,536,석촌,144777,171416,37895,40188
2021-08,8호선,537,송파,132600,135188,40024,40427
2021-08,8호선,538,가락시장,126285,143221,48321,49995
2021-08,8호선,539,문정,422663,443506,42479,42034
2021-08,8호선,540,장지,334067,328323,58365,55477
2021-08,8호선,541,복정,207806,181938,34518,31935
2021-08,8호선,542,산성,108842,109018,26500,29607
2021-08,8호선,543,남한산성입구(성남법원.검찰청),248897,224148,62971,59979
2021-08,8호선,544,단대오거리,190070,185831,55502,53664
2021-08,8호선,545,신흥,78047,85105,31006,32605
2021-08,8호선,546,수진,92121,81656,34730,33852
2021-08,8호선,547,모란,65622,52347,41690,33079
2021-08,9호선,607,개화,50050,35984,10650,8752
2021-08,9호선,608,김포공항,183714,286523,15143,18750
2021-08,9호선,609,공항시장,51084,56065,20278,22433
2021-08,9호선,610,신방화,124442,122364,36165,36010
2021-08,9호선,611,마곡나루(서울식물원),237061,238859,23252,22790
2021-08,9호선,612,양천향교,179883,184677,35157,35374
2021-08,9호선,613,가양,368010,359462,99965,97143
2021-08,9호선,614,증미,134889,135606,34643,35626
2021-08,9호선,615,등촌,201953,201870,65666,66523
2021-08,9호선,616,염창,333826,327645,53680,52757
2021-08,9호선,617,신목동,72041,64669,14873,14030
2021-08,9호선,618,선유도,162082,158800,21450,20579
2021-08,9호선,619,당산,360796,361463,49013,45263
2021-08,9호선,620,국회의사당,278435,286180,32896,28312
2021-08,9호선,621,여의도,508608,480353,33747,30664
2021-08,9호선,622,샛강,104151,107801,18500,18434
2021-08,9호선,623,노량진,548129,531516,64125,65673
2021-08,9호선,624,노들,80212,67740,24699,22730
2021-08,9호선,625,흑석(중앙대입구),134006,141998,40925,41307
2021-08,9호선,626,동작(현충원),34418,27293,9188,7633
2021-08,9호선,627,구반포,40445,43194,15303,15406
2021-08,9호선,628,신반포,59197,58231,14807,14661
2021-08,9호선,629,고속터미널,248852,326540,41945,47756
2021-08,9호선,630,사평,63473,63089,15028,15057
2021-08,9호선,631,신논현,670029,665879,45682,42060
2021-08,공항철도 1호선,645,서울역,159108,148804,24971,22490
2021-08,공항철도 1호선,646,공덕,45307,58932,5790,6594
2021-08,공항철도 1호선,647,홍대입구,221304,219837,14395,13724
2021-08,공항철도 1호선,648,디지털미디어시티,265158,242321,18561,17487
2021-08,공항철도 1호선,649,마곡나루(서울식물원),149890,145525,9097,8938
2021-08,공항철도 1호선,650,김포공항,306467,167474,18461,12052
2021-08,공항철도 1호선,651,계양,195441,187752,21811,20593
2021-08,공항철도 1호선,652,검암,144532,142854,13853,13726
2021-08,공항철도 1호선,653,청라국제도시,139110,132679,9260,9085
2021-08,공항철도 1호선,654,운서,139277,143422,20900,20914
2021-08,공항철도 1호선,655,공항화물청사,47825,52001,7770,7517
2021-08,공항철도 1호선,656,인천공항1터미널,84729,87610,19268,18837
2021-08,공항철도 1호선,657,인천공항2터미널,53609,50139,13964,13454
2021-08,공항철도 1호선,658,영종,59185,60003,15806,15815
2021-08,9호선2~3단계,632,언주,210211,211925,21734,21464
2021-08,9호선2~3단계,633,선정릉,190358,206335,17742,18149
2021-08,9호선2~3단계,634,삼성중앙,126574,131904,16876,16883
2021-08,9호선2~3단계,635,봉은사,323730,328525,33389,31727
2021-08,9호선2~3단계,636,종합운동장,81676,82131,13754,12690
2021-08,9호선2~3단계,637,삼전,132832,130229,28165,27377
2021-08,9호선2~3단계,638,석촌고분,115522,116342,25947,25996
2021-08,9호선2~3단계,639,석촌,165893,148718,26214,22786
2021-08,9호선2~3단계,640,송파나루,95939,105774,20690,21365
2021-08,9호선2~3단계,641,한성백제,47536,44453,12404,11294
2021-08,9호선2~3단계,642,올림픽공원(한국체대),117306,115215,18505,17800
2021-08,9호선2~3단계,643,둔촌오륜,20288,18645,4981,5272
2021-08,9호선2~3단계,644,중앙보훈병원,166624,146007,67450,66331
2021-08,우이신설선,702,북한산우이,48814,44997,30746,31875
2021-08,우이신설선,703,솔밭공원,35903,33068,23679,25713
2021-08,우이신설선,704,4.19민주묘지,39970,39142,30537,26783
2021-08,우이신설선,705,가오리,62610,61025,38687,40072
2021-08,우이신설선,706,화계,47845,43561,33709,34202
2021-08,우이신설선,707,삼양,26703,27748,22036,24669
2021-08,우이신설선,708,삼양사거리,31165,32049,29950,30409
2021-08,우이신설선,709,솔샘,99601,92014,29818,30922
2021-08,우이신설선,710,북한산보국문,105190,98876,33318,33835
2021-08,우이신설선,711,정릉,70828,63487,35608,33405
2021-08,우이신설선,712,성신여대입구(돈암),53877,62861,23149,21891
2021-08,우이신설선,713,보문,23865,23415,11919,11657
2021-08,우이신설선,714,신설동,29375,29242,20752,18443
